title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Uprava za indirektno oporezivanje Bosne i Hercegovine,99205000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Bosna i Hercegovina
Ministarstvo vanjskih poslova Bosne i Hercegovine,54317000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Bosna i Hercegovina
"Agencija za identifikacione dokumente, evidenciju i razmjenu podataka BiH",20253000,2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Bosna i Hercegovina
Parlamentarna skupština Bosne i Hercegovine,15635000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Ministarstvo civilnih poslova,14607000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Služba za zajedničke poslove institucija Bosne i Hercegovine,12865000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Bosna i Hercegovina
Ministarstvo finansija i trezora BiH,10098000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Centralna izborna komisija BiH,8759000,2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Bosna i Hercegovina
Predsjedništvo BiH,8068000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Regulatorna agencija za komunikacije,7803000,2012,04,Ekonomija,04.6,Komunikacije,04.6.0,Komunikacije,Bosna i Hercegovina
Agencija za statistiku BiH,7639000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.2,Planiranje i statistika,Bosna i Hercegovina
Ured koordinatora za reformu javen uprave,5481000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Direkcija za europske integracije,4179000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Bosna i Hercegovina
Generalni sekretarijat Vijeća ministara Bosne i Hercegovine,3844000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Ured za reviziju institucija BiH,3545000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Bosna i Hercegovina
Institut za nestala lica BiH,3066000,2012,01,Rad Vlade,01.4,Istraživanja,01.4.0,Istraživanja,Bosna i Hercegovina
Institut za mjeriteljstvo BiH,2410000,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosna i Hercegovina
Institut za intelektualno vlasništvo BiH,1735000,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosna i Hercegovina
Institut za standardizaciju BiH,1348000,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosna i Hercegovina
Agencija za državnu službu BiH,1114000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Bosna i Hercegovina
Agencija za rad i zapošljavanje BiH,1110000,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.2,Radna snaga,Bosna i Hercegovina
Instut za akreditiranje BiH,1039000,2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Bosna i Hercegovina
Arhiv BiH,652000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Bosna i Hercegovina
Ured za zakonodavstvo,620000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Centralna harmonizacijska jedinica,450000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Bosna i Hercegovina
Odbor državne službe za žalbe,399000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Bosna i Hercegovina
Ministarstvo odbrane BiH,305847000,2012,02,Odbrana,02.1,Vojska,02.1.0,Vojska,Bosna i Hercegovina
Obavještajno sigurnosna agencija Bosne i Hercegovine,33121000,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosna i Hercegovina
Državna agencija za istrage i zaštitu,29231000,2012,03,Red i sigurnost,03.5,Istražne radnje,03.5.0,Istražne radnje,Bosna i Hercegovina
Direkcija za koordinaciju policijskih tijela,27537000,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosna i Hercegovina
Ministarstvo pravde BiH,14442000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Sud Bosne i Hercegovine,14091000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosna i Hercegovina
Tužilaštvo Bosne i Hercegovine,8959000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosna i Hercegovina
Služba za poslove sa strancima Bosne i Hercegovine,8949000,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosna i Hercegovina
Visoko sudsko i tužilačko vijeće Bosne i Hercegovine,8356000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosna i Hercegovina
Ministarstvo sigurnosti Bosne i Hercegovine,8260000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Bosna i Hercegovina
Centar za uklanjanje mina u Bosni i Hercegovini BHMAC,6029000,2012,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Bosna i Hercegovina
Ustavni sud Bosne i Hercegovine,5188000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosna i Hercegovina
Agencija za školovanje i stručno osposobljavanje kadrova,4443000,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosna i Hercegovina
"Jedinica za implementaciju projekta izgradnje zavoda za izvršenje kaznenih sankcija, pritvora i drugih mjera BiH",2878000,2012,03,Red i sigurnost,03.4,Zatvori,03.4.0,Zatvori,Bosna i Hercegovina
Institucija ombdusmana za ljudska prava BiH,2388000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosna i Hercegovina
Agencija za policijsku podršku,1605000,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosna i Hercegovina
Agencija za zaštitu ličnih podataka u BiH,1068000,2012,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Bosna i Hercegovina
