title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Ministarstvo finansija,4897740,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Skupština ,1236100,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Inspektorat,569811,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Služba za zajedn. poslove,487839,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Vlada,467652,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Uprava CZ,194207,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosanskopodrinjski kanton
Uprava policije,5092275,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosanskopodrinjski kanton
MUP,1191894,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Bosanskopodrinjski kanton
Opštinski sud,1008661,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosanskopodrinjski kanton
Kantonalni sud,469935,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosanskopodrinjski kanton
Kantonalno tužilaštvo,232342,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosanskopodrinjski kanton
"Min. za pravosuđe, upravu i radne odnose",232025,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Kantonalno pravobranilaštvo,109864,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosanskopodrinjski kanton
Zavod za bespl. pravnu pomoć,29903,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Bosanskopodrinjski kanton
Osnovno obrazovanje,6051534,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Bosanskopodrinjski kanton
Srednje obrazovanje,3350548,2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Bosanskopodrinjski kanton
"Min. za obrazovanje, kulturu i sport",2928347,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Centar za socijalni rad,5060848,2012,10,Socijalna zaštita,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Bosanskopodrinjski kanton
"Min. za soc. politiku, zdrav., ras. lica i izbj.",2185407,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Min. za boračk. pitanja,1612249,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Min. za urban. prostorn. uređenje i zašt. okoliša,780990,2012,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Bosanskopodrinjski kanton
Min. za privredu,2980302,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Dir. za ceste,2004941,2012,04,Ekonomija,04.5,Transport,04.5.1,Ceste,Bosanskopodrinjski kanton
Kan. uprava za šumarstvo,253257,2012,04,Ekonomija,04.2,Poljoprivreda i šumarstvo ,04.2.2,Šume,Bosanskopodrinjski kanton
Dir. robnih rezervi,653886,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Agencija za privatiz.,134131,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Bosanskopodrinjski kanton
Služba za odnose sa javnošću,80906,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Ured premijera,78248,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Ured za internu reviziju,69309,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Bosanskopodrinjski kanton
Arhiv,53960,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Bosanskopodrinjski kanton
