title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Kabinet gradonačelnika,"5784688,08",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Pododjeljenje za imovinsko - pravne poslove,"5566463,65",2012,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Brčko Distrikt
Sektor održavanja,"2629544,21",2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Inspektorat,"2245464,27",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
"Pododjeljenje za podr. MZ, NVO i UG","2096467,38",2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Skupština,"2076700,27",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Poreska uprava,"1786533,18",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
"Pododjeljenje za prostorno plani., urb. i zašt. ok.","1621417,93",2012,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Brčko Distrikt
Pododjeljenje za katastarske knjige,"1386735,27",2012,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Brčko Distrikt
Trezor,"1357335,1",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
Stručna služba Skupštine,"1272090,36",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Ured za reviziju,"961067,66",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
Sektor za informacione tehnolo.,"810426,44",2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Brčko Distrikt
Pododjeljenje za matičnu evidenciju,"790177,81",2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Sektor za informisanje,"732129,09",2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Pododjeljenje za pisarnicu i zajednič. posl.,"711505,2",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Izborna komisija,697500,2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Pododjeljenje za ljudske resurse,"676768,35",2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Brčko Distrikt
Stručna služba Direkcije za finans.,"667680,37",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Pododjeljenje za lične dokumente,"636661,54",2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Sektor za koord. politika i opće poslove,"612083,04",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Sektor raspolaganja,"542667,01",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Kancelarija direktora,"375448,53",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Pododjeljenje za javne nabavke,"336433,76",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Brčko Distrikt
Kancelarija koordinatora BD BiH pri Vijeći min.,"306232,42",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Komisija za papire od vrijednosti,"279241,98",2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade,Brčko Distrikt
Sektor za reformu i EU integracije,"273083,54",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Brčko Distrikt
Ured direktora Direkcije za finans.,"261455,92",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Zakonodavna kancelarija,"253072,16",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Služba za arhiv,"230074,91",2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Brčko Distrikt
Apelaciona komisija,"223477,73",2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Brčko Distrikt
Pododjeljenje za izd. dozv. i ovlašt.u građevi.,"212293,24",2012,06,Naše ulice,06.6,Stambena administracija,06.6.0,Stambena administracija,Brčko Distrikt
Pododjeljenje za zajed. posl. i stru. nadzor,"202319,41",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Služba zajedničkih poslova,"158390,13",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Sektor registra,"130686,26",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Odbor za zapošljavanje,"97757,97",2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Brčko Distrikt
Upravna inspekcija,"92154,82",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Sekretarijat Vlade,"87901,98",2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Brčko Distrikt
Uniformisana krim. policija i dr.,"10198415,41",2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Brčko Distrikt
Pododjeljenje za zašt. i spašav.,"4149943,59",2012,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Brčko Distrikt
Osnovni sud,"3837310,31",2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Pravosudna komisija,"2973041,8",2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Tužilaštvo,"1448596,37",2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Apelacioni sud,"1047009,83",2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Pravobranilaštvo,"643557,5",2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Administracija,"500424,97",2012,03,Red i sigurnost,03.6,Ostali administrativni poslovi,03.6.0,Ostali administrativni poslovi,Brčko Distrikt
Kancelarija za pravnu pomoć,"491171,74",2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Brčko Distrikt
Pododjeljenje za privredni razvoj,"5769182,48",2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Brčko Distrikt
Pododjeljnje za poljoprivredu,"8040625,65",2012,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.1,Agrokultura,Brčko Distrikt
Pododjeljenje za šumar. i vodoprivr.,"2159384,86",2012,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Brčko Distrikt
Pododjeljenje za veterin.,"931971,95",2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Brčko Distrikt
Pododojeljenje za analizu i admin. podršku,"281668,63",2012,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Brčko Distrikt
Opća bolnica Brčko,"15645083,36",2012,07,Zdravstvo,07.3,Bolnice,07.3.1,Opšte bolnice,Brčko Distrikt
Služba za admin. i statist. odjeljenja,"10603810,76",2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Brčko Distrikt
