title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Izdaci za otplate dugova i kamata,586486291,2012,01,Rad Vlade,01.7,Izdvajanja za javni dug,01.7.0,Izdvajanja za javni dug,Federacija Bosne i Hercegovine
Vlada FBiH,29981510,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Porezna uprava,41678545,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Federacija Bosne i Hercegovine
Kapitalni i tekući transferi,33611000,2012,01,Rad Vlade,01.8,Transferi drugim nivoima,01.8.0,Transferi drugim nivoima,Federacija Bosne i Hercegovine
FMF - Organi uprave,20151127,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Parlament FBiH,14875997,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Fed. uprava za inspekcijske poslove,8160786,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Federacija Bosne i Hercegovine
Fed. zavod za statistiku,7932972,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Federacija Bosne i Hercegovine
Ured Predsjednika i Podpredsjednika FBiH,3667558,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
Ured za reviziju institucija u FBiH,3386524,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Federacija Bosne i Hercegovine
Agencija za državnu službu FBiH,2269489,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.1,Ljudski resursi,Federacija Bosne i Hercegovine
Finansijska policija,1801649,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi,Federacija Bosne i Hercegovine
Arhiv FBiH,582072,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Federacija Bosne i Hercegovine
Fed. min. pravde,46900460,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Federacija Bosne i Hercegovine
MUP FBiH,41900503,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Federacija Bosne i Hercegovine
