title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finasija,8072989,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Ured/kabinet predsjednika Vlade HNŽ/K,2818426,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Skupština HNŽ/K,1810980,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Struč. služ. Vlade,578840,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Arhiv,410720,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Hercegovačko-nertvanski kanton
Ured za zakonodavstvo,181030,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Hercegovačko-nertvanski kanton
MUP HNŽ/K,35052150,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Hercegovačko-nertvanski kanton
Min. pravosuđa i uprave,13882271,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Uprava za CZ i vatrogastvo,1204070,2012,03,Red i sigurnost,03.2,Vatrogasci,03.2.0,Vatrogasci,Hercegovačko-nertvanski kanton
Min. za pitanje branitelja/boraca,2596570,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Uprava za progn. i izbjeg. ,533280,2012,10,Socijalna zaštita,10.7,Socijalna politika,10.7.0,Socijalna politika,Hercegovačko-nertvanski kanton
Osnovno obrazovanje,41093134,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Hercegovačko-nertvanski kanton
Srednje obrazovanje,23892420,2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Hercegovačko-nertvanski kanton
Visoko obrazovanje,7000000,2012,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Hercegovačko-nertvanski kanton
"Min. prosvj., nauke i kult.",4771250,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Pedagoški zavod Mostar,423690,2012,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Hercegovačko-nertvanski kanton
Zavod za školstvo Mostar,412960,2012,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Hercegovačko-nertvanski kanton
"Min. zdravstva, rada i soc. skrb.",11429750,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Hercegovačko-nertvanski kanton
"Kultura, šport i teološki institut",700000,2012,08,Kultura i religija,08.6,Administracija kulture i religije,08.6.0,Administracija kulture i religije,Hercegovačko-nertvanski kanton
Narodna knjižnica/biblioteka,210000,2012,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Hercegovačko-nertvanski kanton
Zavod za zaštitu kul. povj. baštine,110760,2012,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Hercegovačko-nertvanski kanton
"Min. poljopr., šuma i vodoprivr.",8148700,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Min. prometa i veza,6264710,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
"Min. trgov., turiz i zaštite okoliša",3198980,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Min. gospodarstva/privrede,2183500,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Hercegovačko-nertvanski kanton
Min. graditelj. i prostornog uređenj. ,1760760,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Hercegovačko-nertvanski kanton
Uprava za geo. i imov.-pravn. poslove,400690,2012,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Hercegovačko-nertvanski kanton
