title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finasija,9434916,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
Skupština,1843363,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
Vlada,1581025,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
Uprava za inspekc.posl.,1195801,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
Ured za zakonodavstvo,126094,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Kanton 10
MUP,12261900,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Kanton 10
Min. pravosuđ. i uprave,4597738,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
Uprava za CZ,727371,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Kanton 10
Uprava za ceste,2777752,2012,04,Ekonomija,04.5,Transport,04.5.1,Ceste,Kanton 10
"Min. poljopr., vodopr. i šumar.",2018758,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
Min. gospodarstva,1351077,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
Uprava za šumar.,1011960,2012,04,Ekonomija,04.2,Poljoprivreda i šumarstvo ,04.2.2,Šume,Kanton 10
Direk. robnih rezervi,72304,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
"Min. zdrav., rada, soc. skrbi i prognan.",3870505,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Kanton 10
Uprava za pitanje branitelja,1700342,2012,10,Socijalna zaštita,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Kanton 10
Osnovno obrazovanje,15067153,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Kanton 10
Srednje obrazovanje ,8220551,2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Kanton 10
Visoko obrazovanje,720000,2012,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Kanton 10
"Min. znanosti,prosvj., kult. i športa",1524156,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
Min. graditeljstva,609745,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton 10
Uprava za geo. imo.-pravne poslove,140382,2012,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Kanton 10
