title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Vlada,43170900,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Min. finansija,28258600,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Stručna služ. za zajednič. poslove ,4540000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Skupština,2990900,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Zavod za informatiku i statistiku,512900,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Kanton Sarajevo
MUP,66967800,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Kanton Sarajevo
Min.pravde i uprave,35274200,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Prof. vatrogasna brigada KS,6643000,2012,03,Red i sigurnost,03.2,Vatrogasci,03.2.0,Vatrogasci,Kanton Sarajevo
Kantonalna uprava CZ,3510900,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Kanton Sarajevo
Kant. zavod za pružanje bespl. prav. pomoći,250200,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Kanton Sarajevo
Min. saobračaja,50957500,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Min. privrede,19837000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Zavod za planiranje razvoja KS,3653900,2012,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Kanton Sarajevo
Direkcija za robne rezerve,3594300,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Min. zdravstva,5525900,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Kanton Sarajevo
Min. za rad soc. politiku raselj. lica i izbjeg. ,87096300,2012,10,Socijalna zaštita,10.7,Socijalna politika,10.7.0,Socijalna politika,Kanton Sarajevo
Min. za boračka pitanja,29614500,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Min. kulture i sporta ,28325500,2012,08,Kultura i religija,08.6,Administracija kulture i religije,08.6.0,Administracija kulture i religije,Kanton Sarajevo
Min. obrazov. i nauke,86308500,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Osnovno obrazovanje,86308500,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Kanton Sarajevo
Srednje obrazovanje,55895800,2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Kanton Sarajevo
Visoko obrazovanje,66053900,2012,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Kanton Sarajevo
Vrtići,7749900,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.1,Predškolsko obrazovanje,Kanton Sarajevo
Min. prostor. uređenja i zaštitu okoliša,55616600,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Min. stambene politike,5914800,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Kanton Sarajevo
Zavod za izgradnju KS,2122000,2012,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Kanton Sarajevo
Tekuća rezerva,200000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti ,Kanton Sarajevo
Višak rashoda nad prihodima,35000000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti ,Kanton Sarajevo
