title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finasija,1524900,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
Vlada,887000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
Skupština,759400,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
Zajednička služba Vlade,538100,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
Uprava za inspek. poslove,337100,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
MUP,5427700,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Posavski kanton
Min. pravosuđ. i uprave,1728200,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Posavski kanton
Kantonalni sud Odžak,597300,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Posavski kanton
Kantonalno tužiteljstvo,494600,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Posavski kanton
Uprava za CZ,291500,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Posavski kanton
Županijsko javno pravobranitelj.,75000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Posavski kanton
"Min poljopr., vodoprivr. i šumarstv.",2929400,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
"Min. promet veza, turiz. i zašt. okoliša",1064200,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
Min. gospodars. i prost. uređenja,648700,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Posavski kanton
Agencija za privatizaciju,180000,2012,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija,Posavski kanton
Osnovno obrazovanje,7031900,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Posavski kanton
Srednje obrazovanje,3185450,2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Posavski kanton
"Min. prosvj., zanan., kulture i sporta",1062350,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Posavski kanton
"Min. zdravstva, rada i soc. politike",1593700,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Posavski kanton
Min. branitelja,688100,2012,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Posavski kanton
