title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label
Poreska uprava RS-a,24436000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti 
Predsjednik RS-a,10919000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi 
Narodna skupština RS-a,10489000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi 
Repub. uprava za inspekc. poslove,10403000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.3,Vanjski poslovi 
Vlada RS-a,10193000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi 
Min. uprave i lok. samouprave,9369000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi 
Min. finansija,7927000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi 
"Min. porodice, omladine i sporta",7415000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi 
Služba za zajednič. poslove Vlade RS-a,5268000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi
Repub. zavod za statistiku,4043000,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.2,Planiranje i statistika
Glavna služba za reviziju jav. sektora RS-a,3500000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti 
Vijeće naroda RS-a,3340000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi 
Repub. hidromet. zavod,1298000,2012,04,Ekonomija,04.9,Finansije,04.9.0,Finansijska administracija
Repub. uprava za igre na sreću,1048000,2012,01,Rad Vlade,01.6,Ostale aktivnosti Vlade,01.6.0,Ostale aktivnosti Vlade
Repub. centar za istraž. rat. zločina,997000,2012,01,Rad Vlade,01.4,Istraživanja,01.4.0,Istraživanja
