title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finansija,5279900,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Srednjebosanski kanton
Skupština,2798200,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Srednjebosanski kanton
Vlada SBK,1656500,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Srednjebosanski kanton
Kanton. arhiv,349100,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Srednjebosanski kanton
MUP,33921400,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Srednjebosanski kanton
Općinski sudovi,8966500,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
Kanton. uprava za CZ,2602300,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
Kantonalni sud,2281400,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
Kanton. tužilaštvo SBK,1606000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
Min. pravosuđ. i uprave,508500,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Srednjebosanski kanton
Kanton. javno pravobr.,237100,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Srednjebosanski kanton
"Min. šumar., poljopr. i vodopr.",6546500,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Srednjebosanski kanton
Min. privrede,3352500,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Srednjebosanski kanton
Min. zdrav. i soc. politike,10772300,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Srednjebosanski kanton
Kanton. uprava za pitanja borac i inv odb.-oslob. Rata,4467100,2012,10,Socijalna zaštita,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Srednjebosanski kanton
Osnovno obrazov.,46479743,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Srednjebosanski kanton
Srednje obrazov. ,22434100,2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Srednjebosanski kanton
"Min. obrazov., nauke, kult. i sporta",8751300,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Srednjebosanski kanton
"Min. prostr.uređenja, obn. i povrat.",2484300,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Srednjebosanski kanton
Kant. uprava za geo. i imov-pravne posl.,235200,2012,04,Ekonomija,04.8,Ekonomska istraživanja,04.8.4,Geološka istraživanja,Srednjebosanski kanton
"Kanton. zavod za urb., prost. plan. i zašt. kult. histo. naslije.",219900,2012,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Srednjebosanski kanton
Tekuća rezerva,1380000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti ,Srednjebosanski kanton
