title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Vlada,3712433,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Služ. a stručne i zajednič. poslove,3254795,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Min. finansija,2992324,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Skupština,2274625,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Kanton. uprava za inspekc. poslove,1694138,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Kabinet premijera,388736,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Ured za zakonodavstvo,210786,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Ured za zajedničke poslove,8000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Ured Vlade,6534,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
MUP,31344225,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Unsko-sanski kanton
Općinski sudovi,9236496,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Kanton. tužilaštvo,2551563,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Kantonalni sud,2528479,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Kanton. uprava CZ,807869,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Min. pravosuđa i uprave,473631,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Kanton. pravobranilaštvo,175250,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
Kanton. zavod za bespl. pravnu pomoć,120059,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Unsko-sanski kanton
"Min poljopr., vodopr. i šumar.",8969466,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Min. privrede,2734482,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Unsko-sanski kanton
Kanton. uprava za šumar.,2061229,2012,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.2,Šume,Unsko-sanski kanton
Poljopr. zavod,560862,2012,04,Ekonomija,04.2,Poljoprivreda i šumarstvo,04.2.1,Agrokultura,Unsko-sanski kanton
Komisija za koncesije,155341,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Unsko-sanski kanton
Min. zdravstva i soc. politike,12726418,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Unsko-sanski kanton
Min. za pitanja bor. i RVI,6370865,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
"JU ""Soc.-pedag. životna zajednica""",1023929,2012,10,Penzije i socijalno,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Unsko-sanski kanton
Institucije kulture,1206342,2012,08,Kultura i religija,08.2,Kultura,08.2.0,Kultura,Unsko-sanski kanton
Osnovno obrazov.,48144230,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Unsko-sanski kanton
Srednje obrazov.,23076026,2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Unsko-sanski kanton
Visoko obrazov.,11154068,2012,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Unsko-sanski kanton
"Min. obraz., nauke i kult.",8654702,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
JU Pedagoški zavod,349470,2012,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Unsko-sanski kanton
"Min. za građ., prost uređ. i zašt. okoline",1597289,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi,Unsko-sanski kanton
Kant. uprava za geo. i imov-pravne posl.,103533,2012,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Unsko-sanski kanton
Kanton. zavod za prostr. uređenje i plan.,103520,2012,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Unsko-sanski kanton
Obaveze iz prethodne godine,14228284,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti,Unsko-sanski kanton
