title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Min. finansija,3712880,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Služba za zajedn. poslove,2629303,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Uprava za inspekc. poslove,2245928,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Skupština,1625053,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Stručna sl. Vlade,1365444,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Ured premijera,630489,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
MUP,40824207,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zeničko-Dobojski kanton
Min. pravosuđe i upravu,16749106,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Uprava CZ,2068150,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zeničko-Dobojski kanton
Min za poljopr. šumar. i vodopr.,12725197,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
"Min. za prost. uređ., promet i komun. i zašt. okoline",12435046,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Min. za privredu,4302066,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Zeničko-Dobojski kanton
Direkcija za robne rezerve ,179646,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Osnovno obrazovanje,66287737,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Zeničko-Dobojski kanton
Srednje obrazovanje,36609952,2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Zeničko-Dobojski kanton
Visoko obrazovanje,14643943,2012,09,Obrazovanje,09.4,Univerziteti,09.4.2,Univerziteti,Zeničko-Dobojski kanton
Min za obraz. nauku kult. i sport,13275887,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Glazbena škola Žepče,1303587,2012,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Zeničko-Dobojski kanton
Đački dom,741920,2012,09,Obrazovanje,09.6,Studentski standard,09.6.0,Studentski standard,Zeničko-Dobojski kanton
Pedagoški zavod,530024,2012,09,Obrazovanje,09.8,Administracija obrazovanja,09.8.0,Administracija obrazovanja,Zeničko-Dobojski kanton
Min. zdravstva,1546814,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Zeničko-Dobojski kanton
"Min. za rad, soc. pol. i izbjeglice",26828041,2012,10,Socijalna zaštita,10.9,Administracija socijalne zaštite,10.9.0,Administracija socijalne zaštite,Zeničko-Dobojski kanton
Min. za boračka pitanja,9195647,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zeničko-Dobojski kanton
Tekuća budžetska rezerva ,100000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.2,Fiskalne aktivnosti ,Zeničko-Dobojski kanton
