title,amount,time,cofog1.code,cofog1.label,cofog2.code,cofog2.label,cofog3.code,cofog3.label,level
Vlada,7859700,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zapadnohercegovački kanton
Min. finansija,6243100,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zapadnohercegovački kanton
Skupština,1088500,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zapadnohercegovački kanton
Uprava za inspek. poslove ,838100,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zapadnohercegovački kanton
Arhiv,131900,2012,01,Rad Vlade,01.3,Zajednički poslovi,01.3.3,Ostali zajednički poslovi,Zapadnohercegovački kanton
Ured za zakonodavstvo,68000,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zapadnohercegovački kanton
MUP,12128300,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Zapadnohercegovački kanton
Općinski sudovi,1947900,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Županijski sud ŠB,651800,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Županijsko javno tužiteljstvo ŠB,499400,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Uprava za CZ,455500,2012,03,Red i sigurnost,03.1,Policija,03.1.0,Policija,Zapadnohercegovački kanton
Min. pravosuđa i uprave,393600,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Županijsko javno pravobr. ŠB,117150,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Županijski zavod za pravnu pomoć,109000,2012,03,Red i sigurnost,03.3,Sudovi,03.3.0,Sudovi,Zapadnohercegovački kanton
Min. gospodarstva,3424400,2012,04,Ekonomija,04.1,Ekonomski poslovi,04.1.1,Ekonomski poslovi,Zapadnohercegovački kanton
Uprava za ceste,1603300,2012,04,Ekonomija,04.5,Transport,04.5.1,Ceste,Zapadnohercegovački kanton
Zavod za poljopr.,202200,2012,04,Ekonomija,04.2,Poljoprivreda i šumarstvo ,04.2.1,Agrokultura,Zapadnohercegovački kanton
"Min. zdrav., rada i soc. skrbi",4337200,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zapadnohercegovački kanton
Zavod za javno zdravstvo,113400,2012,07,Zdravstvo,07.6,Zdravstvena administracija,07.6.0,Zdravstvena administracija,Zapadnohercegovački kanton
Min. hr. branitelja iz domov. rata,1356864,2012,10,Socijalna zaštita,10.7,Socijalna politika,10.7.0,Socijalna politika,Zapadnohercegovački kanton
Osnovno obrazovanje,21252896,2012,09,Obrazovanje,09.1,Osnovno obrazovanje,09.1.2,Osnovne škole,Zapadnohercegovački kanton
Srednje obrazovanje,8638250,2012,09,Obrazovanje,09.2,Srednje škole,09.2.2,Srednje škole,Zapadnohercegovački kanton
"Min. obrazov., kult. i sporta",2228100,2012,01,Rad Vlade,01.1,Organi Vlasti,01.1.1,Izvršna i zakonodavna organi ,Zapadnohercegovački kanton
"Min. prost. uređ., resursa i zašt. okoliša",1051000,2012,06,Naše ulice,06.2,Razvoj zajednice,06.2.0,Razvoj zajednice,Zapadnohercegovački kanton
Uprava za geo. i imovinsko pravne odnose,142800,2012,06,Naše ulice,06.1,Stambeno,06.1.0,Stambeno,Zapadnohercegovački kanton
