Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,2,Uprava za indirektno oporezivanje Bosne i Hercegovine,99205000,2012
1,1,3,Ministarstvo vanjskih poslova Bosne i Hercegovine,54317000,2012
1,6,0,"Agencija za identifikacione dokumente, evidenciju i razmjenu podataka BiH ",20253000,2012
1,1,1,Parlamentarna skupština Bosne i Hercegovine,15635000,2012
1,1,1,Ministarstvo civilnih poslova,14607000,2012
1,3,3,Služba za zajedničke poslove institucija Bosne i Hercegovine,12865000,2012
1,1,1,Ministarstvo finansija i trezora BiH,10098000,2012
1,6,0,Centralna izborna komisija BiH,8759000,2012
1,1,1,Predsjedništvo BiH,8068000,2012
4,6,0,Regulatorna agencija za komunikacije,7803000,2012
1,3,2,Agencija za statistiku BiH ,7639000,2012
1,1,1,Ured koordinatora za reformu javen uprave,5481000,2012
1,1,3,Direkcija za europske integracije,4179000,2012
1,1,1,Generalni sekretarijat Vijeća ministara Bosne i Hercegovine,3844000,2012
1,1,2,Ured za reviziju institucija BiH ,3545000,2012
1,4,0,Institut za nestala lica BiH ,3066000,2012
4,1,1,Institut za mjeriteljstvo BiH ,2410000,2012
4,1,1,Institut za intelektualno vlasništvo BiH,1735000,2012
4,1,1,Institut za standardizaciju BiH,1348000,2012
1,3,1,Agencija za državnu službu BiH,1114000,2012
4,1,2,Agencija za rad i zapošljavanje BiH ,1110000,2012
1,6,0,Instut za akreditiranje BiH,1039000,2012
1,3,3,Arhiv BiH ,652000,2012
1,1,1,Ured za zakonodavstvo,620000,2012
1,1,2,Centralna harmonizacijska jedinica,450000,2012
1,3,1,Odbor državne službe za žalbe,399000,2012
2,1,0,Ministarstvo odbrane BiH,305847000,2012
3,1,0,Obavještajno sigurnosna agencija Bosne i Hercegovine,33121000,2012
3,5,0,Državna agencija za istrage i zaštitu,29231000,2012
3,1,0,Direkcija za koordinaciju policijskih tijela,27537000,2012
1,1,1,Ministarstvo pravde BiH ,14442000,2012
3,3,0,Sud Bosne i Hercegovine,14091000,2012
3,3,0,Tužilaštvo Bosne i Hercegovine,8959000,2012
3,1,0,Služba za poslove sa strancima Bosne i Hercegovine,8949000,2012
3,3,0,Visoko sudsko i tužilačko vijeće Bosne i Hercegovine,8356000,2012
1,1,1,Ministarstvo sigurnosti Bosne i Hercegovine,8260000,2012
3,6,0,Centar za uklanjanje mina u Bosni i Hercegovini BHMAC,6029000,2012
3,3,0,Ustavni sud Bosne i Hercegovine,5188000,2012
3,1,0,Agencija za školovanje i stručno osposobljavanje kadrova,4443000,2012
3,4,0,"Jedinica za implementaciju projekta izgradnje zavoda za izvršenje kaznenih sankcija, pritvora i drugih mjera BiH ",2878000,2012
3,3,0,Institucija ombdusmana za ljudska prava BiH,2388000,2012
3,1,0,Agencija za policijsku podršku,1605000,2012
3,6,0,Agencija za zaštitu ličnih podataka u BiH,1068000,2012
3,3,0,Pravobranilaštvo Bosne i Hercegovine,1002000,2012
3,6,0,Državna regulatorna agencija za radijacijsku i nuklearnu bezbjednost u BiH,981000,2012
3,6,0,Agencija za prevenciju korupcije i koordinaciju borbe protiv korupcije,885000,2012
3,3,0,Institucija ombdusmana za zaštitu potrošaća u BiH,369000,2012
1,1,1,Ministarstvo komunikacija i prometa Bosne i Hercegovine,13488000,2012
1,1,1,Ministarstvo vanjske trgovine i ekonomskih odnosa Bosne i Hercegovine,6625000,2012
4,5,4,Direkcija za civilno vazduhoplovstvo BiH ,6037000,2012
4,1,1,Agencija za promociju stranih investicija u BiH ,1525000,2012
4,1,1,Konkurencijsko vijeće Bosne i Hercegovine,1475000,2012
4,1,1,Direkcija za ekonomsko planiranje,1285000,2012
4,1,1,Komisija za koncesije BiH,1076000,2012
1,1,2,Ured za razmatranje žalbi po javnim nabavkama,1070000,2012
1,1,2,Agencija za javne nabavke BiH,915000,2012
4,6,0,Agencija za poštanski promet BiH ,882000,2012
4,1,1,Agencija za nadzor nad tržištem BiH,728000,2012
4,9,0,Agencija za osiguranje u BiH,536000,2012
4,2,1,Ured za harmonizaciju i koordinaciju sistema plačanja u poljoprivredi i ruralnom razvoju,529000,2012
9,8,0,"Agencija za predškolsko, osnovno i srednje obrazovanje BiH",1267000,2012
9,8,0,Agencija za razvoj visokog obrazovanja i osiguranje kvaliteta,1152000,2012
9,8,0,Centar za informisanje i priznavanje dokumenata iz oblasti visokog obrazovanja,751000,2012
7,6,0,Ured za veterinarstvo BiH ,7813000,2012
7,6,0,Agencija za lijekove i medicinska sredstva Bosne i Hercegovine,5069000,2012
7,5,0,Agencija za sigurnost hrane BiH ,1707000,2012
7,5,0,Agencija za forenzička ispitivanja i vještačenja,1063000,2012
8,1,0,Agencija za antidoping kontrolu,597000,2012
1,1,1,Minstarstvo za ljudska prava i izbjeglice BiH ,10965000,2012
10,7,0,Fond za povratak BiH ,439000,2012
8,2,0,Komisija za očuvanje nacionalnih spomenika,1309000,2012
8,2,0,Memorijalni centar Srebrenica-Potočari,734000,2012
5,4,0,Uprava BiH za zaštitu zdravlja bilja,985000,2012
1,8,0,Direktni transferi sa JRT,28594000,2012
1,1,2,Rezervisanja,3465000,2012
1,7,0,Servisiranje spoljnog duga,444928000,2012
