Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,1,Kabinet gradonačelnika,"5784688,08",2012
6,6,0,Pododjeljenje za imovinsko - pravne poslove,"5566463,65",2012
1,6,0,Sektor održavanja,"2629544,21",2012
1,1,1,Inspektorat,"2245464,27",2012
1,6,0,"Pododjeljenje za podr. MZ, NVO i UG","2096467,38",2012
1,1,1,Skupština ,"2076700,27",2012
1,1,2,Poreska uprava,"1786533,18",2012
6,2,0,"Pododjeljenje za prostorno plani., urb. i zašt. ok.","1621417,93",2012
6,6,0,Pododjeljenje za katastarske knjige,"1386735,27",2012
1,1,2,Trezor,"1357335,1",2012
1,1,1,Stručna služba Skupštine,"1272090,36",2012
1,1,2,Ured za reviziju,"961067,66",2012
1,3,3,Sektor za informacione tehnolo.,"810426,44",2012
1,6,0,Pododjeljenje za matičnu evidenciju,"790177,81",2012
1,6,0,Sektor za informisanje,"732129,09",2012
1,1,1,Pododjeljenje za pisarnicu i zajednič. posl.,"711505,2",2012
1,6,0,Izborna komisija,697500,2012
1,3,1,Pododjeljenje za ljudske resurse,"676768,35",2012
1,1,1,Stručna služba Direkcije za finans.,"667680,37",2012
1,6,0,Pododjeljenje za lične dokumente,"636661,54",2012
1,1,1,Sektor za koord. politika i opće poslove,"612083,04",2012
1,1,1,Sektor raspolaganja,"542667,01",2012
1,1,1,Kancelarija direktora,"375448,53",2012
1,1,2,Pododjeljenje za javne nabavke,"336433,76",2012
1,1,1,Kancelarija koordinatora BD BiH pri Vijeći min.,"306232,42",2012
1,6,0,Komisija za papire od vrijednosti,"279241,98",2012
1,1,3,Sektor za reformu i EU integracije,"273083,54",2012
1,1,1,Ured direktora Direkcije za finans.,"261455,92",2012
1,1,1,Zakonodavna kancelarija,"253072,16",2012
1,3,3,Služba za arhiv,"230074,91",2012
1,3,1,Apelaciona komisija,"223477,73",2012
6,6,0,Pododjeljenje za izd. dozv. i ovlašt.u građevi.,"212293,24",2012
1,1,1,Pododjeljenje za zajed. posl. i stru. nadzor,"202319,41",2012
1,1,1,Služba zajedničkih poslova,"158390,13",2012
1,1,1,Sektor registra,"130686,26",2012
1,3,1,Odbor za zapošljavanje,"97757,97",2012
1,1,1,Upravna inspekcija,"92154,82",2012
1,1,1,Sekretarijat Vlade,"87901,98",2012
3,1,0,Uniformisana krim. policija i dr.,"10198415,41",2012
3,6,0,Pododjeljenje za zašt. i spašav.,"4149943,59",2012
3,3,0,Osnovni sud,"3837310,31",2012
3,3,0,Pravosudna komisija,"2973041,8",2012
3,3,0,Tužilaštvo,"1448596,37",2012
3,3,0,Apelacioni sud,"1047009,83",2012
3,3,0,Pravobranilaštvo,"643557,5",2012
3,6,0,Administracija,"500424,97",2012
3,3,0,Kancelarija za pravnu pomoć,"491171,74",2012
4,1,1,Pododjeljenje za privredni razvoj,"5769182,48",2012
4,2,1,Pododjeljnje za poljoprivredu,"8040625,65",2012
4,9,0,Pododjeljenje za šumar. i vodoprivr.,"2159384,86",2012
7,6,0,Pododjeljenje za veterin. ,"931971,95",2012
4,9,0,Pododojeljenje za analizu i admin. podršku,"281668,63",2012
7,3,1,Opća bolnica Brčko,"15645083,36",2012
7,6,0,Služba za admin. i statist. odjeljenja,"10603810,76",2012
7,4,0,Zdravstveni centari,"8326992,34",2012
7,6,0,Pododjeljenje za javno zdravstvo,"1203626,76",2012
10,4,0,Dječiji dodatak,9770360,2012
10,9,0,Boračko-inv. zaštita i civil. žrtve rata ,"3284069,9",2012
10,9,0,Tuđa pomoć i njega,1873270,2012
10,9,0,Stalne novčane pomoći,1873000,2012
10,2,0,Jednokratne novč. pomoći umirovljenika,1370000,2012
10,4,0,Refundacija privr. subjekt. za porod odsust.,1100000,2012
10,9,0,Centar za socijalni rad,"831553,71",2012
10,9,0,Sredstva za sub. osobama u stanju soc. potreba,700000,2012
10,9,0,Smještaj maloljet. i punoljet. štićenika u ustanove,590000,2012
10,9,0,Izdaci za javnu kuhinju,300000,2012
10,9,0,Jednokratne pomoći - 3 Fond Solidarnosti,200000,2012
10,4,0,Djeca i odrasli pod starateljstvom,143400,2012
10,4,0,Materinski dodatak,125160,2012
10,4,0,Oprema za novorođenče,117350,2012
10,9,0,Nabavka lijekova i trošk. sahrane za korisnike st. soc. pomoći,75000,2012
8,6,0,Pododjeljenje za turizam kulturu i sport,"5434422,03",2012
9,1,2,Osnovno obrazovanje,"20358517,26",2012
9,2,2,Srednje obrazovanje,"9481124,22",2012
9,8,0,Pododjeljenje za zajed. poslove,"3136979,09",2012
9,1,1,Obdenište 'Naša djeca',"1556891,94",2012
9,4,2,Pododjeljenje za visoko obrazov. i nauku,550820,2012
9,8,0,Stručna služba osnovnog obrazovanja,"513314,62",2012
9,8,0,Pododjeljenje za ljud. resur. I zapošljavanje.,"364881,01",2012
9,8,0,Pedagoška institucija,"261383,86",2012
9,8,0,Stručna služba srednjeg obrazovanja,"81373,62",2012
4,9,0,Pododjeljenje za puteve i parkove,"11634089,47",2012
4,9,0,Pododjeljenje za javne objekte,"4759195,58",2012
4,9,0,Pododjeljenje za jav. saobrač.i održav.vozila,"356324,13",2012
6,6,0,"Odjeljenja za raselj. lica, izbjegl. i stamben. pitanja","4032876,36",2012
6,6,0,Pododjeljenje za kapit. investic.,"3003782,26",2012
6,5,0,Pododjeljenje za razvoj i strateg. komun. usluga,"2051441,7",2012
1,7,0,Domaća i strana pozajmljivanja i otplate duga,10954914,2012
3,3,0,"Sudske presude i rješenja, sudska i vansuds poravnanja",1000000,2012
1,1,2,Sredstva rezerve,"918682,96",2012
