Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,7,0,Izdaci za otplate dugova i kamata,586486291,2012
1,1,1,Vlada FBiH,29981510,2012
1,1,2,Porezna uprava,41678545,2012
1,8,0,Kapitalni i tekući transferi,33611000,2012
1,1,1,FMF - Organi uprave,20151127,2012
1,1,1,Parlament FBiH,14875997,2012
1,1,3,Fed. uprava za inspekcijske poslove,8160786,2012
1,1,3,Fed. zavod za statistiku ,7932972,2012
1,1,1,Ured Predsjednika i Podpredsjednika FBiH,3667558,2012
1,1,2,Ured za reviziju institucija u FBiH,3386524,2012
1,3,1,Agencija za državnu službu FBiH,2269489,2012
1,1,3,Finansijska policija,1801649,2012
1,3,3,Arhiv FBiH,582072,2012
1,1,1,Fed. min. pravde,46900460,2012
3,1,0,MUP FBiH,41900503,2012
3,3,0,Vrhovni sud FBiH,23082137,2012
3,1,0,Fed. uprava za CZ,8231895,2012
3,3,0,Fed. tužilaštvo FBiH,1487031,2012
3,3,0,Ustavni sud FBiH,1434594,2012
3,3,0,Fed. pravobranilaštvo,1270010,2012
3,3,0,JU centar za edukaciju sudija i tužilaca,778118,2012
3,6,0,Gender centar FBiH,477402,2012
1,1,1,"Fed. min. poljoprivr., vodoprivr i šumarstva",85234119,2012
1,1,1,Fed. min. prometa i komun.,55871020,2012
1,1,1,"Fed. min. energije, rudarstva i industr.",40150173,2012
1,1,1,"Fed. min. razvoja, poduz. i obrta",10373371,2012
1,1,1,Fed. direkcija robnih rezervi,5533966,2012
4,9,0,Fed. hitro - metero. zavod,2686950,2012
4,2,1,Fed. zavod za poljoprivredu Sarajevo,2382255,2012
1,1,1,Fed. min. trgovine ,2078705,2012
4,2,1,Fed. agro-mediteranski zavod Mostar,2048687,2012
4,2,1,Fed. zavod za agropedologiju,1290809,2012
4,9,0,Fed. zavod za geologiju,1236188,2012
4,9,0,Fed. zavod za program. razvoja,720645,2012
7,6,0,Fed. min. zdravstva,40869713,2012
10,9,0,Fed. min. rada i soc. politike,367705739,2012
1,1,1,Fed. min. za pitanje boraca i inv. odbr. - oslobod. rata,353704673,2012
1,1,1,Fed. min. raseljenih osoba i izbjeglica,28708735,2012
1,1,1,Fed. min. kulture i sporta,11018239,2012
8,3,0,Fed. novinska agencija,2465972,2012
9,8,0,Fed. min. obrazo. i nauke,8504825,2012
1,1,1,Fed. min. okoliša i turizma,10163203,2012
1,1,1,Fed. min. prostornog uređenja,8588970,2012
6,1,0,Fed. uprava za geo. i imovinsko - pravne poslove,2259642,2012
