Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,1,Min. finasija,8072989,2012
1,1,1,Ured/kabinet predsjednika Vlade HNŽ/K,2818426,2012
1,1,1,Skupština HNŽ/K,1810980,2012
1,1,1,Struč. služ. Vlade,578840,2012
1,3,3,Arhiv,410720,2012
3,3,0,Ured za zakonodavstvo,181030,2012
3,1,0,MUP HNŽ/K,35052150,2012
1,1,1,Min. pravosuđa i uprave,13882271,2012
3,2,0,Uprava za CZ i vatrogastvo,1204070,2012
1,1,1,Min. za pitanje branitelja/boraca,2596570,2012
10,7,0,Uprava za progn. i izbjeg. ,533280,2012
9,1,2,Osnovno obrazovanje,41093134,2012
9,2,2,Srednje obrazovanje,23892420,2012
9,4,2,Visoko obrazovanje,7000000,2012
1,1,1,"Min. prosvj., nauke i kult.",4771250,2012
9,8,0,Pedagoški zavod Mostar,423690,2012
9,8,0,Zavod za školstvo Mostar,412960,2012
7,6,0,"Min. zdravstva, rada i soc. skrb.",11429750,2012
8,6,0,"Kultura, šport i teološki institut",700000,2012
8,2,0,Narodna knjižnica/biblioteka,210000,2012
8,2,0,Zavod za zaštitu kul. povj. baštine,110760,2012
1,1,1,"Min. poljopr., šuma i vodoprivr.",8148700,2012
1,1,1,Min. prometa i veza,6264710,2012
1,1,1,"Min. trgov., turiz i zaštite okoliša",3198980,2012
4,1,1,Min. gospodarstva/privrede,2183500,2012
1,1,1,Min. graditelj. i prostornog uređenj. ,1760760,2012
6,1,0,Uprava za geo. i imov.-pravn. poslove,400690,2012
