Cofog1,Cofog2,Cofog3,title,amount,time
1,1,1,Min. finasija,9434916,2012
1,1,1,Skupština,1843363,2012
1,1,1,Vlada,1581025,2012
1,1,1,Uprava za inspekc.posl.,1195801,2012
3,3,0,Ured za zakonodavstvo,126094,2012
3,1,0,MUP,12261900,2012
1,1,1,Min. pravosuđ. i uprave,4597738,2012
3,1,0,Uprava za CZ,727371,2012
4,5,1,Uprava za ceste,2777752,2012
1,1,1,"Min. poljopr., vodopr. i šumar.",2018758,2012
1,1,1,Min. gospodarstva,1351077,2012
4,2,2,Uprava za šumar.,1011960,2012
1,1,1,Direk. robnih rezervi,72304,2012
7,6,0,"Min. zdrav., rada, soc. skrbi i prognan.",3870505,2012
10,9,0,Uprava za pitanje branitelja,1700342,2012
9,1,2,Osnovno obrazovanje,15067153,2012
9,2,2,Srednje obrazovanje ,8220551,2012
9,4,2,Visoko obrazovanje,720000,2012
1,1,1,"Min. znanosti,prosvj., kult. i športa",1524156,2012
1,1,1,Min. graditeljstva,609745,2012
6,1,0,Uprava za geo. imo.-pravne poslove,140382,2012
