Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,1,Vlada,43170900,2012
1,1,1,Min. finansija,28258600,2012
1,1,1,Stručna služ. za zajednič. poslove ,4540000,2012
1,1,1,Skupština,2990900,2012
1,3,3,Zavod za informatiku i statistiku,512900,2012
3,1,0,MUP,66967800,2012
1,1,1,Min.pravde i uprave,35274200,2012
3,2,0,Prof. vatrogasna brigada KS,6643000,2012
3,1,0,Kantonalna uprava CZ,3510900,2012
3,3,0,Kant. zavod za pružanje bespl. prav. pomoći,250200,2012
1,1,1,Min. saobračaja,50957500,2012
1,1,1,Min. privrede,19837000,2012
6,2,0,Zavod za planiranje razvoja KS,3653900,2012
1,1,1,Direkcija za robne rezerve,3594300,2012
7,6,0,Min. zdravstva,5525900,2012
10,7,0,Min. za rad soc. politiku raselj. lica i izbjeg. ,87096300,2012
1,1,1,Min. za boračka pitanja,29614500,2012
8,6,0,Min. kulture i sporta ,28325500,2012
1,1,1,Min. obrazov. i nauke,89218100,2012
9,1,2,Osnovno obrazovanje,86308500,2012
9,2,2,Srednje obrazovanje,55895800,2012
9,1,1,Vrtići,7749900,2012
1,1,1,Min. prostor. uređenja i zaštitu okoliša,55616600,2012
1,1,1,Min. stambene politike,5914800,2012
6,2,0,Zavod za izgradnju KS,2122000,2012
1,1,2,Tekuća rezerva,200000,2012
1,1,2,Višak rashoda nad prihodima,35000000,2012
