Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,1,Min. finasija,1524900,2012
1,1,1,Vlada,887000,2012
1,1,1,Skupština,759400,2012
1,1,1,Zajednička služba Vlade,538100,2012
1,1,1,Uprava za inspek. poslove,337100,2012
3,1,0,MUP,5427700,2012
3,3,0,Min. pravosuđ. i uprave,1728200,2012
3,3,0,Kantonalni sud Odžak,597300,2012
3,3,0,Kantonalno tužiteljstvo,494600,2012
3,1,0,Uprava za CZ,291500,2012
3,3,0,Županijsko javno pravobranitelj.,75000,2012
1,1,1,"Min poljopr., vodoprivr. i šumarstv.",2929400,2012
1,1,1,"Min. promet veza, turiz. i zašt. okoliša",1064200,2012
4,1,1,Min. gospodars. i prost. uređenja,648700,2012
4,9,0,Agencija za privatizaciju,180000,2012
9,1,2,Osnovno obrazovanje,7031900,2012
9,2,2,Srednje obrazovanje,3185450,2012
1,1,1,"Min. prosvj., zanan., kulture i sporta",1062350,2012
7,6,0,"Min. zdravstva, rada i soc. politike",1593700,2012
10,9,0,Min. branitelja,688100,2012
