Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,2,Poreska uprava RS-a,24436000,2012
1,1,1,Predsjednik RS-a,10919000,2012
1,1,1,Narodna skupština RS-a,10489000,2012
1,1,3,Repub. uprava za inspekc. poslove,10403000,2012
1,1,1,Vlada RS-a,10193000,2012
1,1,1,Min. uprave i lok. samouprave,9369000,2012
1,1,1,Min. finansija,7927000,2012
1,1,1,"Min. porodice, omladine i sporta",7415000,2012
1,3,3,Služba za zajednič. poslove Vlade RS-a,5268000,2012
1,3,2,Repub. zavod za statistiku,4043000,2012
1,1,2,Glavna služba za reviziju jav. sektora RS-a,3500000,2012
1,1,1,Vijeće naroda RS-a,3340000,2012
4,9,0,Repub. hidromet. zavod,1298000,2012
1,6,0,Repub. uprava za igre na sreću,1048000,2012
1,4,0,Repub. centar za istraž. rat. zločina,997000,2012
1,3,3,Arhiv RS-a,898000,2012
1,1,1,Repub. sekretar. za zakonodav.,648000,2012
1,1,1,Agencija za državnu upravu,623000,2012
4,9,0,Agencija za upravljanje oduz. imov.,578000,2012
1,1,1,Repub. devizni inspektorat,461000,2012
3,6,0,Gender centar,426000,2012
4,1,1,Repub. zavod za standard. i metrolo.,379000,2012
1,3,1,Odbor državne uprave za žalbe,268000,2012
1,4,0,Repub. komis. za utvrđ. interesa u organ. vlasti RS-a,265000,2012
1,3,1,Komisija za žalbe,179000,2012
1,6,0,Repub. izborna komisija,131000,2012
3,1,0,MUP RS-a,163313000,2012
3,3,0,Osnovni sudovi RS-a,29842000,2012
3,4,0,Kazneno popravni zavodi RS-a,24780000,2012
3,3,0,Okružni sudovi RS-a ,9457000,2012
3,3,0,Okružno tužilaštvo RS-a,8366000,2012
3,1,0,Sudska policija RS-a,5300000,2012
3,1,0,Repub. uprava CZ,4810000,2012
3,3,0,Okružni privredni sudovi RS-a,4377000,2012
3,3,0,Pravobranilaštvo RS-a,3488000,2012
1,1,1,Min. pravde ,3023000,2012
3,3,0,Vrhovni sud RS-a,2660000,2012
3,3,0,Specijalno tužilaštvo,2066000,2012
3,3,0,Ustavni sud RS-a,1790000,2012
3,3,0,Centar za pruž. besp. prav. pomoći,1268000,2012
3,3,0,Viši privredni sud,916000,2012
3,3,0,Ombdusmen za djecu RS-a,777000,2012
3,3,0,Repub. tužilaštvo RS-a ,723000,2012
3,3,0,Centar za edu.  sudija i javnih tužilaca u RS-u,436000,2012
3,3,0,Kanc. pravnog predstavnika,234000,2012
4,2,1,Agencija za agrarna plačanja,60741000,2012
1,1,1,Min. saobračaja i veza,29079000,2012
1,1,1,"Min. energije, rudarstva i indust.",23228000,2012
1,1,1,Min. trgo. i turizma,10775000,2012
1,1,1,Min. za ekon. odnose i region. saradnju,9941000,2012
1,1,1,"Min. poljoprivr., vodoprivr. I šumarstva",9051000,2012
4,5,4,Repub. dir. za civ. vazd. plovidbu,1639000,2012
4,5,4,Vazduhoplovni servis,1185000,2012
4,5,4,Helikopterski servis,953000,2012
4,9,0,Agencija za uzgoj i selek. u stočar.,927000,2012
4,9,0,Agencija za pruž. struč. usluga u poljopr.,806000,2012
4,8,4,Repub. zavod za geo. istraž.,671000,2012
4,2,2,Agencija za šume,582000,2012
4,9,0,Agencija za bezbj. saobračaja,152000,2012
7,6,0,Min. zdravlja i soc. zaštite,28935000,2012
1,1,1,Min. rada i borač. invalid. zaštite,429323000,2012
10,7,0,Min za izbjeglice i raseljena lica,11539000,2012
8,2,0,Institucije kulture,12526000,2012
8,4,0,Repub. sekretar. za vjere,1502000,2012
8,2,0,Repub. zavod za zaštitu kult. isto. i pr. naslijeđa,1059000,2012
9,1,2,Osnovno obrazovanje,209673000,2012
9,2,2,Srednje obrazovanje,82266000,2012
9,4,2,Univerziteti u RS-u,60982000,2012
9,3,0,Specijalno i umjetničko obrazov.,10069000,2012
9,6,0,Studentski i đački domovi,9272000,2012
1,1,1,Min. nauke i tehnologije,7989000,2012
1,1,1,Min. prosvjete i kulture,7325000,2012
9,8,0,Repub. pedagoški zavod,1735000,2012
9,4,2,Akademija nauka i umj. RS-a,1357000,2012
9,5,0,Zavod za obrazov. odraslih,1268000,2012
9,3,0,Visoke šk. u RS-u,776000,2012
5,6,0,Agencija za vode obl. riječ. sliva Save,7581000,2012
5,6,0,Agencija za vode obl. riječ. sliva Trebišnice,740000,2012
6,1,0,Repub. uprava za geo. i imovinsko pravne odnose,15762000,2012
1,1,1,"Min. za prost. uređ., građ. i ekolo.",3936000,2012
6,2,0,Repub. dir. za obnovu i izgrad.,627000,2012
1,1,2,Budžetska rezerva,3000000,2012
1,7,0,Otplata unutrašnjeg duga,173216300,2012
1,7,0,Otplata vanjskog duga,155248000,2012
1,7,0,Ostalo,54436700,2012
