Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,1,Min. finansija,5279900,2012
1,1,1,Skupština,2798200,2012
1,1,1,Vlada SBK,1656500,2012
1,3,3,Kanton. arhiv,349100,2012
3,1,0,MUP,33921400,2012
3,3,0,Općinski sudovi,8966500,2012
3,3,0,Kanton. uprava za CZ,2602300,2012
3,3,0,Kantonalni sud,2281400,2012
3,3,0,Kanton. tužilaštvo SBK,1606000,2012
1,1,1,Min. pravosuđ. i uprave,508500,2012
3,3,0,Kanton. javno pravobr.,237100,2012
1,1,1,"Min. šumar., poljopr. i vodopr.",6546500,2012
4,1,1,Min. privrede,3352500,2012
7,6,0,Min. zdrav. i soc. politike,10772300,2012
10,9,0,Kanton. uprava za pitanja borac i inv odb.-oslob. Rata,4467100,2012
9,1,2,Osnovno obrazov.,46479743,2012
9,2,2,Srednje obrazov. ,22434100,2012
1,1,1,"Min. obrazov., nauke, kult. i sporta",8751300,2012
1,1,1,"Min. prostr.uređenja, obn. i povrat.",2484300,2012
4,8,4,Kant. uprava za geo. i imov-pravne posl.,235200,2012
6,2,0,"Kanton. zavod za urb., prost. plan. i zašt. kult. histo. naslije.",219900,2012
1,1,2,Tekuća rezerva,1380000,2012
