Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,1,Vlada,"14322740,17",2012
1,1,1,Min. finansija,"9718097,88",2012
1,1,1,Uprava za inspek. poslove ,3722329,2012
1,1,1,Skupština,"2700499,99",2012
1,1,1,Ured za zajed. poslove ,1419265,2012
1,1,1,"Min. poljop., šumar. i vodopr.",17947918,2012
1,1,1,"Min. ind., energ. i rudarstva",2640722,2012
1,1,1,"Min. trgov., turizma i saobrač.",1187574,2012
4,1,1,Min. razvoja i poduzetništva,1122512,2012
1,1,1,Direkc. robnih rezervi,137722,2012
3,1,0,MUP,"51273205,37",2012
1,1,1,Min. pravosuđ. i uprave,22175941,2012
3,1,0,Uprava CZ,3773120,2012
9,1,2,Osnovno obrazovanje,"77085752,33",2012
9,2,2,Srednje obrazovanje,"44338611,9",2012
9,4,2,Visoko obrazovanje,39405642,2012
1,1,1,"Min. obraz. nauke, kult. i sporta",7544590,2012
9,8,0,Pedagoški zavod,"643195,17",2012
7,6,0,Min. zdravstva,419964,2012
10,9,0,Min. za rad soc. politiku i povratak,38373067,2012
1,1,1,Min. za socij. pitanja ,12550851,2012
1,1,1,Min. prosto. uređenja i zaštite okolice,2656827,2012
