Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,1,Vlada,3712433,2012
1,1,1,Služ. a stručne i zajednič. poslove,3254795,2012
1,1,1,Min. finansija,2992324,2012
1,1,1,Skupština,2274625,2012
1,1,1,Kanton. uprava za inspekc. poslove,1694138,2012
1,1,1,Kabinet premijera,388736,2012
1,1,1,Ured za zakonodavstvo,210786,2012
1,1,1,Ured za zajedničke poslove,8000,2012
1,1,1,Ured Vlade,6534,2012
3,1,0,MUP,31344225,2012
3,3,0,Općinski sudovi,9236496,2012
3,3,0,Kanton. tužilaštvo,2551563,2012
3,3,0,Kantonalni sud,2528479,2012
3,3,0,Kanton. uprava CZ,807869,2012
1,1,1,Min. pravosuđa i uprave,473631,2012
3,3,0,Kanton. pravobranilaštvo,175250,2012
3,3,0,Kanton. zavod za bespl. pravnu pomoć,120059,2012
1,1,1,"Min poljopr., vodopr. i šumar.",8969466,2012
4,1,1,Min. privrede,2734482,2012
4,2,2,Kanton. uprava za šumar.,2061229,2012
4,2,1,Poljopr. zavod,560862,2012
4,1,1,Komisija za koncesije,155341,2012
7,6,0,Min. zdravstva i soc. politike,12726418,2012
1,1,1,Min. za pitanja bor. i RVI,6370865,2012
10,9,0,"JU ""Soc.-pedag. životna zajednica""",1023929,2012
8,2,0,Institucije kulture,1206342,2012
9,1,2,Osnovno obrazov. ,48144230,2012
9,2,2,Srednje obrazov. ,23076026,2012
9,4,2,Visoko obrazov. ,11154068,2012
1,1,1,"Min. obraz., nauke i kult. ",8654702,2012
9,8,0,JU Pedagoški zavod,349470,2012
1,1,1,"Min. za građ., prost uređ. i zašt. okoline",1597289,2012
6,1,0,Kant. uprava za geo. i imov-pravne posl.,103533,2012
6,2,0,Kanton. zavod za prostr. uređenje i plan.,103520,2012
1,1,2,Obaveze iz prethodne godine,14228284,2012
