Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,1,Min. finansija,3712880,2012
1,1,1,Služba za zajedn. poslove,2629303,2012
1,1,1,Uprava za inspekc. poslove,2245928,2012
1,1,1,Skupština,1625053,2012
1,1,1,Stručna sl. Vlade,1365444,2012
1,1,1,Ured premijera,630489,2012
3,3,0,MUP,40824207,2012
1,1,1,Min. pravosuđe i upravu,16749106,2012
3,3,0,Uprava CZ,2068150,2012
1,1,1,Min za poljopr. šumar. i vodopr.,12725197,2012
1,1,1,"Min. za prost. uređ., promet i komun. i zašt. okoline",12435046,2012
4,1,1,Min. za privredu,4302066,2012
1,1,1,Direkcija za robne rezerve ,179646,2012
9,1,2,Osnovno obrazovanje,66287737,2012
9,2,2,Srednje obrazovanje,36609952,2012
9,4,2,Visoko obrazovanje,14643943,2012
1,1,1,Min za obraz. nauku kult. i sport,13275887,2012
9,8,0,Glazbena škola Žepče,1303587,2012
9,6,0,Đački dom,741920,2012
9,8,0,Pedagoški zavod,530024,2012
7,6,0,Min. zdravstva,1546814,2012
10,9,0,"Min. za rad, soc. pol. i izbjeglice",26828041,2012
1,1,1,Min. za boračka pitanja,9195647,2012
1,1,2,Tekuća budžetska rezerva ,100000,2012
