Cofog1,Cofog2,Cofog3,Title,Amount,Time
1,1,1,Vlada,7859700,2012
1,1,1,Min. finansija,6243100,2012
1,1,1,Skupština,1088500,2012
1,1,1,Uprava za inspek. poslove ,838100,2012
1,3,3,Arhiv,131900,2012
1,1,1,Ured za zakonodavstvo,68000,2012
3,1,0,MUP,12128300,2012
3,3,0,Općinski sudovi,1947900,2012
3,3,0,Županijski sud ŠB,651800,2012
3,3,0,Županijsko javno tužiteljstvo ŠB,499400,2012
3,1,0,Uprava za CZ,455500,2012
3,3,0,Min. pravosuđa i uprave,393600,2012
3,3,0,Županijsko javno pravobr. ŠB,117150,2012
3,3,0,Županijski zavod za pravnu pomoć,109000,2012
4,1,1,Min. gospodarstva,3424400,2012
4,5,1,Uprava za ceste,1603300,2012
4,2,1,Zavod za poljopr.,202200,2012
1,1,1,"Min. zdrav., rada i soc. skrbi",4337200,2012
7,6,0,Zavod za javno zdravstvo,113400,2012
10,7,0,Min. hr. branitelja iz domov. rata,1356864,2012
9,1,2,Osnovno obrazovanje,21252896,2012
9,2,2,Srednje obrazovanje,8638250,2012
1,1,1,"Min. obrazov., kult. i sporta",2228100,2012
6,2,0,"Min. prost. uređ., resursa i zašt. okoliša",1051000,2012
6,1,0,Uprava za geo. i imovinsko pravne odnose,142800,2012
